platform_id,region,platform_name,entry_type,primary_url,signup_url,api_available,automation_level,human_gates,notes
leanpub,global,Leanpub,direct_store,https://leanpub.com/,https://leanpub.com/signups/new,true,direct_store,email_verify;payout_info;final_submit,"기술서/연재 강점. API 제공."
gumroad,global,Gumroad,direct_store,https://gumroad.com/,https://gumroad.com/signup,true,direct_store,email_verify;tax_info;payout_info;final_submit,"직접 PDF/EPUB 판매. API. VAT 처리."
payhip,global,Payhip,direct_store,https://payhip.com/,https://payhip.com/register,false,direct_store,email_verify;payout_info;final_submit,"자체 스토어형. 쿠폰/멤버십."
itch_io,global,itch.io,direct_store,https://itch.io/,https://itch.io/register,true,direct_store,email_verify;payout_info;final_submit,"인디(주로 게임이나 PDF/zine 판매 가능). API."
notionpress,in,Notion Press,service,https://notionpress.com/,https://notionpress.com/sign-up,false,manual_contract,identity_verify;payout_info;final_submit,"인도 중심 서비스형 출판."
pothi,in,Pothi.com,direct_store,https://pothi.com/,https://pothi.com/pothi/user/register,false,assisted_browser,email_verify;payout_info;final_submit,"인도 POD/eBook."
okadabooks,africa,OkadaBooks,direct_store,https://okadabooks.com/,https://okadabooks.com/signup,false,direct_store,email_verify;payout_info;final_submit,"나이지리아/아프리카 중심."
wattpad,global,Wattpad,community,https://www.wattpad.com/,https://www.wattpad.com/signup,false,community,email_verify;tos_agree,"무료 연재 커뮤니티. 수익은 프로그램 별도."
royalroad,global,Royal Road,community,https://www.royalroad.com/,https://www.royalroad.com/account/register,false,community,email_verify;tos_agree,"웹소설(영문) 커뮤니티."
inkitt,global,Inkitt,community,https://www.inkitt.com/,https://www.inkitt.com/,false,community,email_verify;tos_agree,"영문 소설 커뮤니티/계약형."
tapas,global,Tapas,community,https://tapas.io/,https://tapas.io/signup,false,community,email_verify;tos_agree;payout_info,"웹툰/웹소설(영문)."
radish,global,Radish Fiction,community,https://radishfiction.com/,https://radishfiction.com/,false,community,email_verify;tos_agree;payout_info,"모바일 연재 소설."
bod_de,de,Books on Demand (BoD),aggregator_pod,https://www.bod.de/,https://www.bod.de/login,false,assisted_browser,identity_verify;tax_info;payout_info;final_submit,"독일 POD/eBook 대표."
epubli_de,de,epubli,aggregator_pod,https://www.epubli.com/,https://www.epubli.com/login,false,assisted_browser,email_verify;tax_info;payout_info;final_submit,"독일 자가출판."
tolino_media_de,de,tolino media,aggregator,https://www.tolino-media.de/,https://www.tolino-media.de/login,false,assisted_browser,email_verify;tax_info;payout_info;final_submit,"독일/EU tolino 생태계 배급."
neobooks_de,de,neobooks,aggregator,https://www.neobooks.com/,https://www.neobooks.com/,false,assisted_browser,email_verify;tax_info;payout_info;final_submit,"독일 자가출판(Droemer Knaur)."
bookrix_de,de,BookRix,community,https://www.bookrix.com/,https://www.bookrix.com/login,false,community,email_verify;tos_agree;payout_info,"DE/EN 커뮤니티 + 배급."
youscribe_fr,fr,YouScribe,direct_store,https://www.youscribe.com/,https://www.youscribe.com/,false,assisted_browser,email_verify;payout_info;final_submit,"프랑스/아프리카 구독형."
sept_switch_fr,fr,7Switch / Immateriel,aggregator,https://www.7switch.com/,https://www.7switch.com/,false,aggregator,email_verify;tax_info;payout_info;final_submit,"프랑스 배급(immatériel.fr)."
rakuten_kobo_jp,jp,Rakuten Kobo (JP),self_publish,https://www.kobo.com/jp/ja/p/writinglife,https://www.kobo.com/jp/ja/p/writinglife,true,assisted_browser,email_verify;tax_info;payout_info;final_submit,"일본 Kobo. Writing Life 경유."
bookwalker_jp,jp,BOOK WALKER,retailer_partner,https://bookwalker.jp/,https://member.bookwalker.jp/,false,manual_contract,identity_verify;tos_agree;final_submit,"카도카와 계열. 출판사/계약 중심."
booth_pixiv_jp,jp,BOOTH (pixiv),direct_store,https://booth.pm/,https://accounts.pixiv.net/signup,false,direct_store,email_verify;payout_info;final_submit,"pixiv 직접 판매(동인/PDF)."
note_jp,jp,note,direct_store,https://note.com/,https://note.com/signup,false,direct_store,email_verify;payout_info;final_submit,"일본 콘텐츠 직접 판매/유료글."
dlsite_jp,jp,DLsite,retailer_partner,https://www.dlsite.com/,https://www.dlsite.com/maniax/circle/,false,manual_contract,identity_verify;tos_agree;final_submit,"동인/디지털. 서클 등록 심사."
kyobo_kr,kr,교보문고 (PubPle/CP),retailer_partner,https://www.kyobobook.co.kr/,https://digital.kyobobook.co.kr/,false,manual_contract,identity_verify;tos_agree;tax_info;final_submit,"PubPle 자가출판/CP 입점. 사업자·계약."
yes24_kr,kr,YES24 eBook,retailer_partner,https://www.yes24.com/,https://www.yes24.com/Templates/FTBizPartnerseBook.aspx,false,manual_contract,identity_verify;tos_agree;tax_info;final_submit,"신규거래 신청. SCM 계정."
aladin_kr,kr,알라딘 전자책,retailer_partner,https://www.aladin.co.kr/,https://www.aladin.co.kr/,false,manual_contract,identity_verify;tos_agree;tax_info;final_submit,"전자책 신규 거래 신청서."
ridi_kr,kr,리디 (RIDI),retailer_partner,https://ridibooks.com/,https://partners.ridibooks.com/,false,manual_contract,identity_verify;tos_agree;tax_info;final_submit,"파트너 심사/계약."
bookk_kr,kr,부크크 (BOOKK),aggregator_pod,https://www.bookk.co.kr/,https://www.bookk.co.kr/login,false,assisted_browser,email_verify;tax_info;payout_info;final_submit,"국내 대표 POD 자가출판."
millie_kr,kr,밀리의서재,retailer_partner,https://www.millie.co.kr/,https://www.millie.co.kr/,false,manual_contract,identity_verify;tos_agree;final_submit,"구독형. 콘텐츠 제휴 심사."
bookcube_kr,kr,북큐브,retailer_partner,https://www.bookcube.com/,https://www.bookcube.com/,false,manual_contract,identity_verify;tos_agree;final_submit,"국내 전자책 유통."
naver_series_kr,kr,네이버 시리즈/스마트스토어,direct_store,https://series.naver.com/,https://sell.smartstore.naver.com/,false,assisted_browser,identity_verify;tos_agree;tax_info;final_submit,"디지털 상품 정책 확인. 직접판매는 스마트스토어."
kakaopage_kr,kr,카카오페이지,retailer_partner,https://page.kakao.com/,https://page.kakao.com/,false,manual_contract,identity_verify;tos_agree;final_submit,"CP 제휴 심사 중심."
brunch_kr,kr,브런치스토리,community,https://brunch.co.kr/,https://brunch.co.kr/,false,community,identity_verify;tos_agree,"작가 신청 심사. 직접 판매 아님(노출/제안)."
qidian_cn,cn,起点中文网 (Qidian),retailer_partner,https://www.qidian.com/,https://passport.qidian.com/,false,manual_contract,identity_verify;tos_agree;final_submit,"중국 웹소설 대표(阅文). 계약/심사."
douban_read_cn,cn,豆瓣阅读,retailer_partner,https://read.douban.com/,https://read.douban.com/,false,manual_contract,identity_verify;tos_agree;final_submit,"중국 자가출판/연재."
